16:16:01.955 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:16:01.986 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression8336780628568296744.so: /tmp/mleukam/libgkl_compression8336780628568296744.so: failed to map segment from shared object: Operation not permitted)
16:16:01.988 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:16:02.011 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression3740477886140903901.so: /tmp/mleukam/libgkl_compression3740477886140903901.so: failed to map segment from shared object: Operation not permitted)
16:16:02.178 INFO  BaseRecalibrator - ------------------------------------------------------------
16:16:02.179 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.0.6.0
16:16:02.179 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
16:16:02.179 INFO  BaseRecalibrator - Executing as mleukam@cri16cn228 on Linux v2.6.32-573.12.1.el6.x86_64 amd64
16:16:02.179 INFO  BaseRecalibrator - Java runtime: Java HotSpot(TM) 64-Bit Server VM v1.8.0_92-b14
16:16:02.179 INFO  BaseRecalibrator - Start Date/Time: February 21, 2019 4:16:01 PM CST
16:16:02.179 INFO  BaseRecalibrator - ------------------------------------------------------------
16:16:02.179 INFO  BaseRecalibrator - ------------------------------------------------------------
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Version: 2.16.0
16:16:02.180 INFO  BaseRecalibrator - Picard Version: 2.18.7
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:16:02.180 INFO  BaseRecalibrator - Deflater: JdkDeflater
16:16:02.180 INFO  BaseRecalibrator - Inflater: JdkInflater
16:16:02.180 INFO  BaseRecalibrator - GCS max retries/reopens: 20
16:16:02.180 INFO  BaseRecalibrator - Using google-cloud-java patch 6d11bef1c81f885c26b2b56c8616b7a705171e4f from https://github.com/droazen/google-cloud-java/tree/dr_all_nio_fixes
16:16:02.180 INFO  BaseRecalibrator - Initializing engine
16:16:02.724 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
16:16:02.740 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
16:16:03.141 INFO  FeatureManager - Using codec VCFCodec to read file file:///scratch/mleukam/mouse/mgp.v5.merged.indels.dbSNP142.normed.vcf
16:16:03.307 INFO  FeatureManager - Using codec VCFCodec to read file file:///scratch/mleukam/mouse/mgp.v5.merged.snps_all.dbSNP142.vcf
16:16:03.401 INFO  BaseRecalibrator - Done initializing engine
16:16:03.439 INFO  BaseRecalibrationEngine - The covariates being used here: 
16:16:03.439 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
16:16:03.439 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
16:16:03.439 INFO  BaseRecalibrationEngine - 	ContextCovariate
16:16:03.439 INFO  BaseRecalibrationEngine - 	CycleCovariate
16:16:03.443 INFO  ProgressMeter - Starting traversal
16:16:03.444 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
16:24:04.117 INFO  ProgressMeter -          10:35976904              8.0              17329000        2163092.2
16:24:14.133 INFO  ProgressMeter -          10:36735621              8.2              17705000        2164915.0
16:24:24.187 INFO  ProgressMeter -          10:37420376              8.3              18085000        2167127.0
16:24:34.165 INFO  ProgressMeter -          10:38177370              8.5              18459000        2168581.3
16:24:44.173 INFO  ProgressMeter -          10:38932740              8.7              18836000        2170342.0
16:24:54.195 INFO  ProgressMeter -          10:39577988              8.8              19211000        2171756.9
16:25:04.208 INFO  ProgressMeter -          10:40229264              9.0              19589000        2173480.5
16:25:14.211 INFO  ProgressMeter -          10:40901390              9.2              19974000        2175947.4
16:25:24.221 INFO  ProgressMeter -          10:41586588              9.3              20359000        2178299.0
16:25:34.223 INFO  ProgressMeter -          10:42233628              9.5              20735000        2179652.7
16:25:44.239 INFO  ProgressMeter -          10:42895265              9.7              21109000        2180700.6
16:25:54.264 INFO  ProgressMeter -          10:43569994              9.8              21492000        2182604.8
16:26:04.285 INFO  ProgressMeter -          10:44213177             10.0              21869000        2183842.6
16:26:14.312 INFO  ProgressMeter -          10:44886018             10.2              22256000        2186029.2
16:26:24.318 INFO  ProgressMeter -          10:45602073             10.3              22635000        2187400.3
16:26:34.336 INFO  ProgressMeter -          10:46327599             10.5              23015000        2188805.7
16:26:44.355 INFO  ProgressMeter -          10:47144697             10.7              23386000        2189324.6
16:26:54.356 INFO  ProgressMeter -          10:47970125             10.8              23754000        2189604.7
16:27:04.374 INFO  ProgressMeter -          10:48837335             11.0              24116000        2189305.2
16:27:14.391 INFO  ProgressMeter -          10:49668651             11.2              24479000        2189055.2
16:27:24.409 INFO  ProgressMeter -          10:50467082             11.3              24849000        2189451.7
16:27:34.416 INFO  ProgressMeter -          10:51244647             11.5              25230000        2190826.8
16:27:44.433 INFO  ProgressMeter -          10:51966105             11.7              25607000        2191792.2
16:27:54.447 INFO  ProgressMeter -          10:52687515             11.9              25981000        2192480.2
16:28:04.467 INFO  ProgressMeter -          10:53418748             12.0              26367000        2194132.5
16:28:14.472 INFO  ProgressMeter -          10:54094125             12.2              26745000        2195128.0
16:28:24.486 INFO  ProgressMeter -          10:54857906             12.4              27126000        2196312.8
16:28:34.501 INFO  ProgressMeter -          10:55654789             12.5              27500000        2196903.8
16:28:44.512 INFO  ProgressMeter -          10:56420337             12.7              27876000        2197663.0
16:28:54.517 INFO  ProgressMeter -          10:57181088             12.9              28253000        2198468.9
16:29:04.535 INFO  ProgressMeter -          10:58217852             13.0              28631000        2199308.4
16:29:14.542 INFO  ProgressMeter -          10:58786123             13.2              29016000        2200688.2
16:29:24.557 INFO  ProgressMeter -          10:59442761             13.4              29394000        2201487.2
16:29:34.565 INFO  ProgressMeter -          10:60084829             13.5              29773000        2202359.5
16:29:44.568 INFO  ProgressMeter -          10:60730962             13.7              30151000        2203150.8
16:29:54.588 INFO  ProgressMeter -          10:61391677             13.9              30531000        2204022.4
16:30:04.606 INFO  ProgressMeter -          10:62041270             14.0              30910000        2204807.2
16:30:14.625 INFO  ProgressMeter -          10:62691775             14.2              31287000        2205429.9
16:30:24.639 INFO  ProgressMeter -          10:63386246             14.4              31668000        2206339.8
16:30:34.640 INFO  ProgressMeter -          10:64109283             14.5              32037000        2206415.1
16:30:44.643 INFO  ProgressMeter -          10:64873517             14.7              32411000        2206834.1
16:30:54.663 INFO  ProgressMeter -          10:65671430             14.9              32780000        2206867.5
16:31:04.678 INFO  ProgressMeter -          10:66440545             15.0              33158000        2207528.6
16:31:14.688 INFO  ProgressMeter -          10:67131255             15.2              33534000        2208014.5
16:31:24.706 INFO  ProgressMeter -          10:67807525             15.4              33916000        2208883.0
16:31:34.722 INFO  ProgressMeter -          10:68482720             15.5              34297000        2209673.2
16:31:44.744 INFO  ProgressMeter -          10:69175234             15.7              34676000        2210304.9
